[2020-11-28 16:03:21] Error while retrieving ---*Hello*---: Error: unsupported URL: ---*Hello*---
[2020-12-03 12:20:24] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Timeout was reached
[2020-12-03 12:20:36] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Server returned nothing (no headers, no data)
[2020-12-07 07:26:54] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-07 07:26:54] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-07 07:26:54] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-07 07:26:54] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-07 07:26:54] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-07 07:26:54] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-07 07:57:16] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-07 07:57:16] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-07 07:57:16] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-07 07:57:16] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-07 07:57:16] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-07 07:57:16] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-08 07:51:30] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-08 07:51:30] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-08 07:51:30] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-08 07:51:30] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-08 07:51:30] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
[2020-12-08 07:51:30] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCYk9lpGD4h7brb33QLNBThA: Couldn't resolve host name
[2020-12-08 08:43:52] Error while retrieving https://www.archlinux.org/feeds/news: Couldn't resolve host name
[2020-12-08 08:43:52] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC2eYFnH61tmytImy1mTYvhA: Couldn't resolve host name
[2020-12-08 08:43:52] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCe0TLA0EsQbE-MjuHXevj2A: Couldn't resolve host name
[2020-12-08 08:43:52] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UCLb_x8TboHIoO0F7uYSl4Ww: Couldn't resolve host name
[2020-12-08 08:43:52] Error while retrieving https://www.youtube.com/feeds/videos.xml?channel_id=UC7mbY_PCZdwK5oo3yVBdR0A: Couldn't resolve host name
